dataset	label	definition
Fsd50k	Water	a clear liquid, without colour or taste, that falls from the sky as rain and is necessary for animal and plant life
AudioSet	Water	a clear liquid, without colour or taste, that falls from the sky as rain and is necessary for animal and plant life
Dcase2017t4	Water	a clear liquid, without colour or taste, that falls from the sky as rain and is necessary for animal and plant life
AudioSet	Alarm clock	a clock that you can set to wake you up at a particular time with a loud noise
ESC50	clock_alarm	a clock that you can set to wake you up at a particular time with a loud noise
Fsd50k	Hi-hat	a combination of two cymbals and a pedal, all mounted on a metal stand. It is a part of the standard drum kit used by drummers in many styles of music including rock, pop, jazz, and blues
AudioSet	Hi-hat	a combination of two cymbals and a pedal, all mounted on a metal stand. It is a part of the standard drum kit used by drummers in many styles of music including rock, pop, jazz, and blues
Dcase2017t4	Hi-hat	a combination of two cymbals and a pedal, all mounted on a metal stand. It is a part of the standard drum kit used by drummers in many styles of music including rock, pop, jazz, and blues
ESC50	dog	a common animal with four legs, especially kept by people as a pet or to hunt or guard things
Fsd50k	Dog	a common animal with four legs, especially kept by people as a pet or to hunt or guard things
AudioSet	Dog	a common animal with four legs, especially kept by people as a pet or to hunt or guard things
Dcase2017t4	Dog	a common animal with four legs, especially kept by people as a pet or to hunt or guard things
AudioSet	Heart murmur	a condition in which unusual sounds can be heard in the heart, sometimes as a result of a fault in its structure
AudioSet	Flap	a consonant sound made when the tongue moves forward and down, and quickly touches the alveolar ridge
Dcase2017t4	Flap	a consonant sound made when the tongue moves forward and down, and quickly touches the alveolar ridge
Fsd50k	Dishes_and_pots_and_pans	a container, flatter than a bowl and sometimes with a lid, from which food can be served or which can be used for cooking
AudioSet	Dishes, pots, and pans	a container, flatter than a bowl and sometimes with a lid, from which food can be served or which can be used for cooking
Dcase2017t4	Dishes, pots, and pans	a container, flatter than a bowl and sometimes with a lid, from which food can be served or which can be used for cooking
AudioSet	Hum	a continuous low noise
AudioSet	Babbling	a continuous low or confused sound, especially the sound of several people talking
Dcase2017t4	Babbling	a continuous low or confused sound, especially the sound of several people talking
AudioSet	Rumble	a continuous low sound
Dcase2017t4	Rumble	a continuous low sound
AudioSet	Dial tone	a continuous sound that tells you that a phone is connected to the phone system and is ready to be used
Dcase2017t4	Dial tone	a continuous sound that tells you that a phone is connected to the phone system and is ready to be used
AudioSet	Telephone dialing, DTMF	a continuous sound that tells you that a phone is connected to the phone system and is ready to be used
Dcase2017t4	Telephone dialing, DTMF	a continuous sound that tells you that a phone is connected to the phone system and is ready to be used
Fsd50k	Bird	a creature with feathers and wings, usually able to fly
AudioSet	Bird	a creature with feathers and wings, usually able to fly
Dcase2017t4	Bird	a creature with feathers and wings, usually able to fly
ESC50	chirping_birds	a creature with feathers and wings, usually able to fly
AudioSet	Howl (wind)	a current of air moving approximately horizontally, especially one strong enough to be felt
AudioSet	Rustling leaves	a current of air moving approximately horizontally, especially one strong enough to be felt
Dcase2017t4	Rustling leaves	a current of air moving approximately horizontally, especially one strong enough to be felt
ESC50	wind	a current of air moving approximately horizontally, especially one strong enough to be felt
Fsd50k	Wind	a current of air moving approximately horizontally, especially one strong enough to be felt
AudioSet	Wind	a current of air moving approximately horizontally, especially one strong enough to be felt
Dcase2017t4	Wind	a current of air moving approximately horizontally, especially one strong enough to be felt
AudioSet	Wind noise (microphone)	a current of air moving approximately horizontally, especially one strong enough to be felt
Dcase2017t4	Wind noise (microphone)	a current of air moving approximately horizontally, especially one strong enough to be felt
AudioSet	Sine wave	a curve that shows a regular smooth repeating pattern
Fsd50k	Boom	a deep and loud hollow sound
AudioSet	Boom	a deep and loud hollow sound
AudioSet	Groan	a deep, long sound showing great pain or unhappiness
Dcase2017t4	Groan	a deep, long sound showing great pain or unhappiness
AudioSet	Zipper (clothing)	a device consisting of two rows of metal or plastic teeth-like parts that are brought together by pulling a small sliding piece over them, used for closing openings in clothing, bags, etc.
Fsd50k	Zipper_(clothing)	a device consisting of two rows of metal or plastic teeth-like parts that are brought together by pulling a small sliding piece over them, used for closing openings in clothing, bags, etc.
AudioSet	Civil defense siren	a device for making a loud warning noise
Dcase2017t4	Civil defense siren	a device for making a loud warning noise
UrbanSound8K	siren	a device for making a loud warning noise
ESC50	siren	a device for making a loud warning noise
Fsd50k	Siren	a device for making a loud warning noise
AudioSet	Siren	a device for making a loud warning noise
Dcase2017t4	Siren	a device for making a loud warning noise
AudioSet	Clock	a device for measuring and showing time, usually found in or on a building and not worn by a person
Fsd50k	Clock	a device for measuring and showing time, usually found in or on a building and not worn by a person
Fsd50k	Telephone	a device for speaking to someone in another place by means of electrical signals
AudioSet	Telephone	a device for speaking to someone in another place by means of electrical signals
Dcase2017t4	Telephone	a device for speaking to someone in another place by means of electrical signals
AudioSet	Telephone bell ringing	a device for speaking to someone in another place by means of electrical signals
Fsd50k	Camera	a device for taking photographs or making films or television programmes
AudioSet	Camera	a device for taking photographs or making films or television programmes
AudioSet	Single-lens reflex camera	a device for taking photographs or making films or television programmes
Dcase2017t4	Single-lens reflex camera	a device for taking photographs or making films or television programmes
AudioSet	Air horn, truck horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
Dcase2017t4	Air horn, truck horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
UrbanSound8K	car horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
ESC50	car_horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
AudioSet	Train horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
Dcase2017t4	Train horn	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
AudioSet	Vehicle horn, car horn, honking	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
Dcase2017t4	Vehicle horn, car horn, honking	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
Fsd50k	Vehicle_horn_and_car_horn_and_honking	a device on a vehicle that is used to make a loud noise as a warning or signal to other people
AudioSet	Television	a device shaped like a box with a screen that receives electrical signals and changes them into moving images and sound, or the method or business of sending images and sound by electrical signals
Dcase2017t4	Television	a device shaped like a box with a screen that receives electrical signals and changes them into moving images and sound, or the method or business of sending images and sound by electrical signals
AudioSet	Fire alarm	a device such as a bell or siren that warns the people in a building that the building is on fire
Dcase2017t4	Fire alarm	a device such as a bell or siren that warns the people in a building that the building is on fire
AudioSet	Sampler	a device that allows you to record parts of other people's songs and then use these parts to create new pieces of music
Dcase2017t4	Sampler	a device that allows you to record parts of other people's songs and then use these parts to create new pieces of music
AudioSet	Propeller, airscrew	a device that causes a ship or aircraft to move, consisting of two or more blades that spin at high speed
Dcase2017t4	Propeller, airscrew	a device that causes a ship or aircraft to move, consisting of two or more blades that spin at high speed
AudioSet	Water tap, faucet	a device that controls the flow of liquid, especially water, from a pipe
Dcase2017t4	Water tap, faucet	a device that controls the flow of liquid, especially water, from a pipe
Fsd50k	Water_tap_and_faucet	a device that controls the flow of liquid, especially water, from a pipe
AudioSet	Smoke detector, smoke alarm	a device that makes a loud noise when there is smoke present to tell people that there is a fire
Dcase2017t4	Smoke detector, smoke alarm	a device that makes a loud noise when there is smoke present to tell people that there is a fire
Fsd50k	Scissors	a device used for cutting materials such as paper, cloth, and hair, consisting of two sharp blades that are joined in the middle, and two handles with holes to put your fingers through
AudioSet	Scissors	a device used for cutting materials such as paper, cloth, and hair, consisting of two sharp blades that are joined in the middle, and two handles with holes to put your fingers through
AudioSet	Steam whistle	a device used to produce sound in the form of a whistle using live steam, which creates, projects, and amplifies its sound by acting as a vibrating system
Dcase2017t4	Steam whistle	a device used to produce sound in the form of a whistle using live steam, which creates, projects, and amplifies its sound by acting as a vibrating system
AudioSet	Gears	a device, often consisting of connecting sets of wheels with teeth (= points) around the edge, that controls how much power from an engine goes to the moving parts of a machine
Dcase2017t4	Gears	a device, often consisting of connecting sets of wheels with teeth (= points) around the edge, that controls how much power from an engine goes to the moving parts of a machine
ESC50	sheep	a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat
AudioSet	Sheep	a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat
Dcase2017t4	Sheep	a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat
AudioSet	Wildfire	a fire that is burning strongly and out of control on an area of grass or bushes in the countryside
AudioSet	Firecracker	a firework that makes a loud noise when it explodes
Dcase2017t4	Firecracker	a firework that makes a loud noise when it explodes
Fsd50k	Door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
AudioSet	Door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
Dcase2017t4	Door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
AudioSet	Sliding door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
Dcase2017t4	Sliding door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
Fsd50k	Sliding_door	a flat object that is used to close the entrance of something such as a room or building, or the entrance itself
Fsd50k	Skateboard	a flat, narrow board with two small wheels under each end, which a person stands on and moves forward by pushing one foot on the ground
AudioSet	Skateboard	a flat, narrow board with two small wheels under each end, which a person stands on and moves forward by pushing one foot on the ground
Dcase2017t4	Skateboard	a flat, narrow board with two small wheels under each end, which a person stands on and moves forward by pushing one foot on the ground
AudioSet	Crash cymbal	a flat, round musical instrument made of brass that makes a loud noise when hit with a stick or against another cymbal
Fsd50k	Crash_cymbal	a flat, round musical instrument made of brass that makes a loud noise when hit with a stick or against another cymbal
AudioSet	Cymbal	a flat, round musical instrument made of brass that makes a loud noise when hit with a stick or against another cymbal
Dcase2017t4	Cymbal	a flat, round musical instrument made of brass that makes a loud noise when hit with a stick or against another cymbal
AudioSet	Bee, wasp, etc.	a flying insect that has a yellow and black body and is able to sting
Dcase2017t4	Bee, wasp, etc.	a flying insect that has a yellow and black body and is able to sting
AudioSet	Cattle, bovinae	a group of animals that includes cows, buffalo, and bison, that are often kept for their milk or meat
AudioSet	Choir	a group of people who sing together
Dcase2017t4	Choir	a group of people who sing together
Fsd50k	Growling	A growling sound is long, low, and rough, like the threatening sound made by a dog
AudioSet	Growling	A growling sound is long, low, and rough, like the threatening sound made by a dog
AudioSet	Wood	a hard substance that forms the branches and trunks of trees and can be used as a building material, for making things, or as a fuel
Fsd50k	Glass	a hard, transparent material, used to make windows, bottles, and other objects
AudioSet	Glass	a hard, transparent material, used to make windows, bottles, and other objects
AudioSet	Caterwaul	a high unpleasant noise like one made by a cat
Dcase2017t4	Caterwaul	a high unpleasant noise like one made by a cat
Fsd50k	Bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
Dcase2017t4	Bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Bicycle bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
Dcase2017t4	Bicycle bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
Fsd50k	Bicycle_bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Change ringing (campanology)	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Church bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
Fsd50k	Church_bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
ESC50	church_bells	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Jingle bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
Dcase2017t4	Jingle bell	a hollow metal object shaped like a cup that makes a ringing sound when hit by something hard, especially a clapper
AudioSet	Foghorn	a horn that makes a very loud sound to warn ships that they are close to land or other ships
Dcase2017t4	Foghorn	a horn that makes a very loud sound to warn ships that they are close to land or other ships
AudioSet	Horse	a large animal with four legs that people ride on or use for carrying things or pulling vehicles
Dcase2017t4	Horse	a large animal with four legs that people ride on or use for carrying things or pulling vehicles
AudioSet	Turkey	a large bird grown for its meat on farms
AudioSet	Ship	a large boat for travelling on water, especially across the sea
AudioSet	Bass drum	a large drum that produces a low sound
Dcase2017t4	Bass drum	a large drum that produces a low sound
Fsd50k	Bass_drum	a large drum that produces a low sound
ESC50	cow	a large female farm animal kept to produce meat and milk
AudioSet	Orchestra	a large group of musicians who play many different instruments together and are led by a conductor
Fsd50k	Crowd	a large group of people who have come together
AudioSet	Crowd	a large group of people who have come together
Dcase2017t4	Crowd	a large group of people who have come together
AudioSet	Bassoon	a large musical instrument that is played by blowing into a long, curved tube
Fsd50k	Piano	a large musical instrument with a row of black and white keys that are pressed to play notes
AudioSet	Piano	a large musical instrument with a row of black and white keys that are pressed to play notes
Dcase2017t4	Piano	a large musical instrument with a row of black and white keys that are pressed to play notes
AudioSet	Fusillade	a large number of bullets fired at the same time or one after another very quickly
Dcase2017t4	Fusillade	a large number of bullets fired at the same time or one after another very quickly
ESC50	pig	a large pink, brown, or black farm animal with short legs and a curved tail, kept for its meat
AudioSet	Pig	a large pink, brown, or black farm animal with short legs and a curved tail, kept for its meat
AudioSet	Ice cream truck, ice cream van	a large road vehicle that is used for transporting large amounts of goods
Dcase2017t4	Ice cream truck, ice cream van	a large road vehicle that is used for transporting large amounts of goods
Fsd50k	Truck	a large road vehicle that is used for transporting large amounts of goods
AudioSet	Truck	a large road vehicle that is used for transporting large amounts of goods
Dcase2017t4	Truck	a large road vehicle that is used for transporting large amounts of goods
ESC50	chainsaw	a large saw with a motor and teeth-like parts fitted onto a continuous chain, used especially for cutting trees
AudioSet	Chainsaw	a large saw with a motor and teeth-like parts fitted onto a continuous chain, used especially for cutting trees
Dcase2017t4	Chainsaw	a large saw with a motor and teeth-like parts fitted onto a continuous chain, used especially for cutting trees
Fsd50k	Bus	a large vehicle in which people are driven from one place to another
AudioSet	Bus	a large vehicle in which people are driven from one place to another
Dcase2017t4	Bus	a large vehicle in which people are driven from one place to another
AudioSet	Fire engine, fire truck (siren)	a large vehicle that carries firefighters and their equipment to a fire
Dcase2017t4	Fire engine, fire truck (siren)	a large vehicle that carries firefighters and their equipment to a fire
AudioSet	Goose	a large water bird similar to a duck but larger, or the meat from this bird
Dcase2017t4	Goose	a large water bird similar to a duck but larger, or the meat from this bird
AudioSet	Roaring cats (lions, tigers)	a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia
Dcase2017t4	Roaring cats (lions, tigers)	a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia
ESC50	crow	a large, black bird with a loud, unpleasant cry
Fsd50k	Crow	a large, black bird with a loud, unpleasant cry
AudioSet	Crow	a large, black bird with a loud, unpleasant cry
Dcase2017t4	Crow	a large, black bird with a loud, unpleasant cry
AudioSet	Trombone	a large, brass musical instrument that you play by blowing into it and sliding a U-shaped tube in and out to change the length and produce different notes
AudioSet	Pigeon, dove	a large, usually grey bird that is often seen in towns sitting on buildings in large groups, and is sometimes eaten as food
Fsd50k	Harp	a large, wooden musical instrument with many strings that you play with the fingers
AudioSet	Harp	a large, wooden musical instrument with many strings that you play with the fingers
AudioSet	Spray	a liquid that is forced out of a special container under pressure so that it becomes a mass of small liquid drops like a cloud
Dcase2017t4	Spray	a liquid that is forced out of a special container under pressure so that it becomes a mass of small liquid drops like a cloud
AudioSet	Narration, monologue	a long speech by one person
Dcase2017t4	Narration, monologue	a long speech by one person
AudioSet	Didgeridoo	a long wooden wind instrument played by Australian Aborigines to produce a long deep sound
Dcase2017t4	Didgeridoo	a long wooden wind instrument played by Australian Aborigines to produce a long deep sound
AudioSet	Neigh, whinny	a long, loud, high call that is produced by a horse when it is excited or frightened
Fsd50k	Screech	a long, loud, high noise that is unpleasant to hear
AudioSet	Screech	a long, loud, high noise that is unpleasant to hear
AudioSet	Packing tape, duct tape	a long, thin strip of very strong, sticky material that is sold in a roll and is often used for covering holes or other repair jobs
Fsd50k	Packing_tape_and_duct_tape	a long, thin strip of very strong, sticky material that is sold in a roll and is often used for covering holes or other repair jobs
AudioSet	Squeal	a long, very high sound or cry
Dcase2017t4	Squeal	a long, very high sound or cry
AudioSet	Flap	a lot of public anger, excitement, or discussion
AudioSet	Hiccup	a loud noise that you make in the throat without wanting to, caused by a sudden tightening of a muscle just below the chest and usually happening repeatedly
Dcase2017t4	Hiccup	a loud noise that you make in the throat without wanting to, caused by a sudden tightening of a muscle just below the chest and usually happening repeatedly
AudioSet	Whoop	a loud, excited shout, especially showing your enjoyment of or agreement with something
Dcase2017t4	Whoop	a loud, excited shout, especially showing your enjoyment of or agreement with something
AudioSet	Belly laugh	a loud, uncontrolled laugh
Dcase2017t4	Belly laugh	a loud, uncontrolled laugh
AudioSet	Drone	a low continuous noise that does not change its note
AudioSet	Thunk	a low sound made by something falling or hitting something else heavily
ESC50	washing_machine	a machine for washing clothes, sheets, and other things made of cloth
AudioSet	Cash register	a machine in a shop or other business that records sales and into which money received is put
Dcase2017t4	Cash register	a machine in a shop or other business that records sales and into which money received is put
AudioSet	Vacuum cleaner	a machine that cleans floors and other surfaces by sucking up dust and dirt
Dcase2017t4	Vacuum cleaner	a machine that cleans floors and other surfaces by sucking up dust and dirt
ESC50	vacuum_cleaner	a machine that cleans floors and other surfaces by sucking up dust and dirt
Fsd50k	Printer	a machine that is connected to a computer and prints onto paper using ink
AudioSet	Printer	a machine that is connected to a computer and prints onto paper using ink
AudioSet	Sewing machine	a machine that is used for joining together pieces of cloth, with a needle that is operated either by turning a handle or by electricity
UrbanSound8K	air_conditioner	a machine that keeps the air in a building cool
ESC50	engine	a machine that uses the energy from liquid fuel or steam to produce movement
Fsd50k	Engine	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Engine	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Engine	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Engine knocking	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Engine knocking	a machine that uses the energy from liquid fuel or steam to produce movement
Fsd50k	Engine_starting	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Engine starting	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Engine starting	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Heavy engine (low frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Heavy engine (low frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Light engine (high frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Light engine (high frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Medium engine (mid frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
Dcase2017t4	Medium engine (mid frequency)	a machine that uses the energy from liquid fuel or steam to produce movement
AudioSet	Lawn mower	a machine used for cutting grass
Dcase2017t4	Lawn mower	a machine used for cutting grass
Fsd50k	Typewriter	a machine with keys that you press to produce letters and numbers on paper
AudioSet	Typewriter	a machine with keys that you press to produce letters and numbers on paper
Fsd50k	Vehicle	a machine, usually with wheels and an engine, used for transporting people or goods, especially on land
AudioSet	Vehicle	a machine, usually with wheels and an engine, used for transporting people or goods, especially on land
Dcase2017t4	Vehicle	a machine, usually with wheels and an engine, used for transporting people or goods, especially on land
AudioSet	Tuning fork	a metal object with two long, thin parts, joined to a short handle, that, when hit gently, produces a particular note. It is used for tuning musical instruments
AudioSet	Steel guitar, slide guitar	a method of playing the guitar in which the player holds the guitar in a horizontal position and plucks the strings with one hand while sliding a bar called a steel to change the pitch of one or more strings with the other
Dcase2017t4	Steel guitar, slide guitar	a method of playing the guitar in which the player holds the guitar in a horizontal position and plucks the strings with one hand while sliding a bar called a steel to change the pitch of one or more strings with the other
AudioSet	White noise	a mixture of sounds or electrical signals that consists of all the sounds or signals in a large range
Dcase2017t4	White noise	a mixture of sounds or electrical signals that consists of all the sounds or signals in a large range
AudioSet	Pink noise	a mixture of sounds or electrical signals that has a lot of low-frequency sounds, producing a deep sound
Dcase2017t4	Pink noise	a mixture of sounds or electrical signals that has a lot of low-frequency sounds, producing a deep sound
AudioSet	Vibraphone	a musical instrument consisting of a frame with a set of metal bars in it that you hit with sticks. The bars have electrical devices attached to them that make them vibrate (= shake) so that they produce musical notes that seem to shake slightly
Dcase2017t4	Vibraphone	a musical instrument consisting of a frame with a set of metal bars in it that you hit with sticks. The bars have electrical devices attached to them that make them vibrate (= shake) so that they produce musical notes that seem to shake slightly
Fsd50k	Chime	a musical instrument consisting of a set of metal tubes that are hit to produce a ringing sound
AudioSet	Chime	a musical instrument consisting of a set of metal tubes that are hit to produce a ringing sound
AudioSet	Tubular bells	a musical instrument consisting of a set of metal tubes that are hit to produce a ringing sound
Dcase2017t4	Tubular bells	a musical instrument consisting of a set of metal tubes that are hit to produce a ringing sound
Fsd50k	Marimba_and_xylophone	a musical instrument consisting of flat wooden bars of different lengths that are hit with sticks
AudioSet	Marimba, xylophone	a musical instrument consisting of flat wooden bars of different lengths that are hit with sticks
Dcase2017t4	Marimba, xylophone	a musical instrument consisting of flat wooden bars of different lengths that are hit with sticks
AudioSet	Maraca	a musical instrument consisting of two hollow containers filled with beans or small stones. They are shaken to provide the rhythm for some types of music
AudioSet	Bugle	a musical instrument like a simple trumpet, used especially in the army
AudioSet	Cornet	a musical instrument made from metal, usually brass, that you play by blowing into it
Fsd50k	Glockenspiel	a musical instrument made of flat metal bars of different lengths that you hit with small hammers
AudioSet	Glockenspiel	a musical instrument made of flat metal bars of different lengths that you hit with small hammers
Dcase2017t4	Glockenspiel	a musical instrument made of flat metal bars of different lengths that you hit with small hammers
AudioSet	Zither	a musical instrument shaped like a flat box, with many strings stretched across it that you pull at with your fingers or with a small piece of plastic
AudioSet	Harpsichord	a musical instrument similar to a piano. It was played especially in the 17th and 18th centuries.
Dcase2017t4	Harpsichord	a musical instrument similar to a piano. It was played especially in the 17th and 18th centuries.
AudioSet	French horn	a musical instrument that consists of a long metal tube bent into circles, with a wide opening at one end, played by blowing down the tube and moving the fingers on valves
AudioSet	Brass instrument	a musical instrument that produces sound by sympathetic vibration of air in a tubular resonator in sympathy with the vibration of the player's lips
Dcase2017t4	Brass instrument	a musical instrument that produces sound by sympathetic vibration of air in a tubular resonator in sympathy with the vibration of the player's lips
Fsd50k	Brass_instrument	a musical instrument that produces sound by sympathetic vibration of air in a tubular resonator in sympathy with the vibration of the player's lips
AudioSet	Wind instrument, woodwind instrument	a musical instrument whose sound is produced by blowing
Dcase2017t4	Wind instrument, woodwind instrument	a musical instrument whose sound is produced by blowing
Fsd50k	Wind_instrument_and_woodwind_instrument	a musical instrument whose sound is produced by blowing
AudioSet	Electronic organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
Dcase2017t4	Electronic organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
AudioSet	Hammond organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
Dcase2017t4	Hammond organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
AudioSet	Mellotron	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
Fsd50k	Organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
AudioSet	Organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
Dcase2017t4	Organ	a musical instrument with a keyboard in which sound is produced by air being forced through pipes of different sizes and lengths when you press the keys with your hands or feet, or in which sound is produced electronically
AudioSet	Bowed string instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
Dcase2017t4	Bowed string instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
Fsd50k	Bowed_string_instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
AudioSet	Plucked string instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
Dcase2017t4	Plucked string instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
Fsd50k	Plucked_string_instrument	a musical instrument with a set of strings that vibrate to produce sound when they are pulled, hit, or rubbed with a bow
AudioSet	Mandolin	a musical instrument with four pairs of metal strings and a round back
Dcase2017t4	Mandolin	a musical instrument with four pairs of metal strings and a round back
Fsd50k	Drum	a musical instrument, especially one made from a skin stretched over the end of a hollow tube or bowl, played by hitting with the hand or a stick
AudioSet	Drum	a musical instrument, especially one made from a skin stretched over the end of a hollow tube or bowl, played by hitting with the hand or a stick
Dcase2017t4	Drum	a musical instrument, especially one made from a skin stretched over the end of a hollow tube or bowl, played by hitting with the hand or a stick
AudioSet	Saxophone	a musical instrument, usually made of metal, that is played by blowing into it to make a reed vibrate. They are made in different sizes.
AudioSet	Acoustic guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Dcase2017t4	Acoustic guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Fsd50k	Acoustic_guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
AudioSet	Electric guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Dcase2017t4	Electric guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Fsd50k	Electric_guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Fsd50k	Guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
AudioSet	Guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
Dcase2017t4	Guitar	a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum
AudioSet	Opera	a musical play in which most of the words are sung, or plays and music of this type
AudioSet	Creak	a noise made when something creaks
Dcase2017t4	Creak	a noise made when something creaks
Fsd50k	Ratchet_and_pawl	a part of a machine that allows movement in one direction only. It is usually a wheel with teeth-like parts that either slide over or lock against the free end of a bar
AudioSet	Ratchet, pawl	a part of a machine that allows movement in one direction only. It is usually a wheel with teeth-like parts that either slide over or lock against the free end of a bar
Dcase2017t4	Ratchet, pawl	a part of a machine that allows movement in one direction only. It is usually a wheel with teeth-like parts that either slide over or lock against the free end of a bar
Fsd50k	Mechanisms	a part of a machine, or a set of parts that work together
AudioSet	Mechanisms	a part of a machine, or a set of parts that work together
Dcase2017t4	Mechanisms	a part of a machine, or a set of parts that work together
AudioSet	Inside, large room or hall	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
Dcase2017t4	Inside, large room or hall	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
AudioSet	Inside, public space	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
Dcase2017t4	Inside, public space	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
AudioSet	Inside, small room	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
Dcase2017t4	Inside, small room	a part of the inside of a building that is separated from other parts by walls, floor, and ceiling
AudioSet	Angry music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Angry music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Background music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Background music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
