dataset	label	definition
AudioSet	Burping, eructation	to allow air from the stomach to come out through the mouth in a noisy way
Dcase2017t4	Burping, eructation	to allow air from the stomach to come out through the mouth in a noisy way
Fsd50k	Crumpling_and_crinkling	to become covered in many small lines and folds, or to cause something to do this
AudioSet	Crumpling, crinkling	to become covered in many small lines and folds, or to cause something to do this
AudioSet	Flap	to behave in a nervous and excited way
AudioSet	Burst, pop	to break open or apart suddenly, or to make something do this
Dcase2017t4	Burst, pop	to break open or apart suddenly, or to make something do this
AudioSet	Crack	to break something so that it does not separate, but very thin lines appear on its surface, or to become broken in this way
Dcase2017t4	Crack	to break something so that it does not separate, but very thin lines appear on its surface, or to become broken in this way
Fsd50k	Sigh	to breathe out slowly and noisily, expressing tiredness, sadness, pleasure, etc.
AudioSet	Sigh	to breathe out slowly and noisily, expressing tiredness, sadness, pleasure, etc.
AudioSet	Pant	to breathe quickly and loudly through your mouth, usually because you have been doing something very energetic
Dcase2017t4	Pant	to breathe quickly and loudly through your mouth, usually because you have been doing something very energetic
ESC50	mouse_click	to carry out a computer operation by pressing a button on the mouse or keyboard
AudioSet	Snap	to cause something that is thin to break suddenly and quickly with a cracking sound
AudioSet	Smash, crash	to cause something to break noisily into a lot of small pieces
Dcase2017t4	Smash, crash	to cause something to break noisily into a lot of small pieces
AudioSet	Frying (food)	to cook food in hot oil or fat
Dcase2017t4	Frying (food)	to cook food in hot oil or fat
Fsd50k	Frying_(food)	to cook food in hot oil or fat
Fsd50k	Chewing_and_mastication	to crush food into smaller, softer pieces with the teeth so that it can be swallowed
AudioSet	Chewing, mastication	to crush food into smaller, softer pieces with the teeth so that it can be swallowed
Fsd50k	Screaming	to cry or say something loudly and usually on a high note, especially because of strong emotions such as fear, excitement, or anger
AudioSet	Screaming	to cry or say something loudly and usually on a high note, especially because of strong emotions such as fear, excitement, or anger
Dcase2017t4	Screaming	to cry or say something loudly and usually on a high note, especially because of strong emotions such as fear, excitement, or anger
AudioSet	Scratch	to cut or damage a surface or your skin slightly with or on something sharp or rough
AudioSet	Chopping (food)	to cut something into pieces with an axe, knife, or other sharp instrument
Fsd50k	Sawing	to cut wood or other hard material using a saw
AudioSet	Sawing	to cut wood or other hard material using a saw
Dcase2017t4	Sawing	to cut wood or other hard material using a saw
AudioSet	Gobble	to eat food too fast
AudioSet	Gush	to flow or send out quickly and in large amounts
Fsd50k	Cough	to force air out of your lungs through your throat with a short, loud sound
AudioSet	Cough	to force air out of your lungs through your throat with a short, loud sound
ESC50	coughing	to force air out of your lungs through your throat with a short, loud sound
AudioSet	Slap, smack	to hit someone or something forcefully with the flat inside part of your hand, producing a short, loud noise, especially as a way of punishing a child
Dcase2017t4	Slap, smack	to hit someone or something forcefully with the flat inside part of your hand, producing a short, loud noise, especially as a way of punishing a child
Fsd50k	Tap	to hit something gently, and often repeatedly, especially making short, sharp noises
AudioSet	Tap	to hit something gently, and often repeatedly, especially making short, sharp noises
Dcase2017t4	Tap	to hit something gently, and often repeatedly, especially making short, sharp noises
Fsd50k	Accelerating_and_revving_and_vroom	to increase the operating speed of an engine while the vehicle is not moving, usually to warm it to the correct temperature
